"Module","ID","Type","Description"
"12_approvalDetails","E2E-1","Positive (E2E)","E2E-1: Positive: Full flow ??? Approval Details ??? Proceed"
"12_approvalDetails","E2E-2","Negative (E2E)","E2E-2:Negative: Full flow ??? Approval Details ??? Verify None status behaviour"
"12_approvalDetails","E2E-3","Positive (E2E)","E2E-3: Positive: Full flow ??? Approval Details ??? Not Approved state ??? Proceed"
"12_approvalDetails","12A-1","Positive (E2E)","  12A-1: E2E ??? Approval Details ??? View details ??? Proceed"
"12_approvalDetails","12A-2","Negative (E2E)","  12A-2 [Negative]: E2E ??? Approval Details ??? Verify approval state is visible"
"12_approvalDetails","12A-3","Positive (E2E)","  12A-3: E2E ??? Approval Details ??? Not Approved state ??? Proceed"
"13_additionalDetails","E2E-1","Positive (E2E)","  E2E-1: Full flow ??? Additional Details ??? Fill Personal & Office Details ??? Proceed"
"13_additionalDetails","E2E-2","Negative (E2E)","  E2E-2 [Negative]: Full flow ??? Additional Details ??? Missing Time Horizon"
"13_additionalDetails","E2E-3","Negative (E2E)","  E2E-3 [Negative]: Full flow ??? Additional Details ??? Short Office Address"
"14_reappraisal","E2E-1","Negative (E2E)","E2E-1 [Negative]: Full flow ??? Reappraisal ??? Proceed without reason"
"14_reappraisal","E2E-2","Negative (E2E)","E2E-2 [Negative]: Full flow ??? Reappraisal ??? Only Reappraisal Reason"
"14_reappraisal","E2E-3","Negative (E2E)","E2E-3 [Negative]: Full flow ??? Reappraisal ??? Only FOS Reason"
"14_reappraisal","E2E-4","Positive (E2E)","E2E-4: Full flow ??? Reappraisal ??? Both reasons ??? Proceed"
"14_reappraisal","14A-1","Positive (E2E)","  14A-1: E2E ??? Reappraisal ??? Fill details ??? Proceed"
"14_reappraisal","14A-2","Negative (E2E)","  14A-2 [Negative]: E2E ??? Reappraisal ??? Missing required fields ??? Validation"
"14_reappraisal","14A-3","Negative (E2E)","  14A-3 [Negative]: E2E ??? Reappraisal ??? Only Reappraisal Reason"
"14_reappraisal","14A-4","Negative (E2E)","  14A-4 [Negative]: E2E ??? Reappraisal ??? Only FOS Reason"
"15_assetCart","E2E-1","Positive (E2E)","  E2E-1: Full flow ??? Asset Cart ??? Verify Opportunity ID and navigate"
"15_assetCart","E2E-2","Positive (E2E)","  E2E-2: Full flow ??? Asset Cart ??? Verify page loads correctly"
"15_assetCart","E2E-3","Positive (E2E)","  E2E-3: Full flow ??? Asset Cart ??? Click Change Scheme"
"15_assetCart","E2E-4","Positive (E2E)","  E2E-4: Full flow ??? Asset Cart ??? Cancel Opportunity"
"15_assetCart","E2E-C1","Positive (E2E)","  E2E-C1: Custom flow \u2192 PAN \u2192 Hamburger Asset Cart \u2192 Change Scheme \u2192 Finish"
"15_assetCart","E2E-S","Positive (E2E)","  /* E2E-Shortcut: Mobile Validation direct to Asset Cart"
"15_assetCart","15A-1","Positive (E2E)","  15A-1: E2E ??? Asset Cart ??? Expand opportunity ??? Change Scheme"
"15_assetCart","15A-2","Positive (E2E)","  15A-2: E2E ??? Asset Cart ??? Verify opportunity is listed"
"15_assetCart","15A-3","Positive (E2E)","  15A-3: E2E ??? Asset Cart ??? Click Opportunity ID ??? Verify navigation"
"15_assetCart","15A-4","Positive (E2E)","  15A-4: E2E ??? Asset Cart ??? Cancel Opportunity"
